10yard	10ヤードファイト	てんやーどふぁいと
toukon3	新日本プロレスリング 闘魂烈伝3 - アーケードエディション	しんにほんぷろれすりんぐとうこんれつでん3
toutrun	ターボアウトラン	たーぼあうとらん
toypop	トイポップ	といぽっぷ
tp2m32	テトリスプラス2 (MegaSystem 32 Version)	てとりすぷらす2
tpgolf	トッププレイヤーズゴルフ	とっぷぷれいやーずごるふ
trally	スラッシュラリー	すらっしゅらりー
travrusa	ジッピーレース / Traverse USA	じっぴーれーす
trek_201	スタートレック 25周年記念 (ピンボール)	すたーとれっく
triothep	トリオ・ザ・パンチ	とりおざぱんち
trisport	Tri-Sports	とらいすぽーつ
trog	Trog	とろーぐ
trojan	闘いの挽歌 / Trojan	たたかいのばんか
tron	トロン	とろん
trstar	トップランキングスターズ	とっぷらんきんぐすたーず
trucksp3	トラックストップ (P-3) (ピンボール)	とらっくすとっぷp
truxton	達人 / Truxton	たつじん
ts_lx5	ザ・シャドウ (ピンボール)	ざしゃどう
ts2	闘神伝2	とうしんでん2
tshingen	武田信玄	たけだしんげん
tsptr_l3	トランスポーター・ザ・レスキュー (L-3) (ピンボール)	とらんすぽーたーざれすきゅーp
ttt_10	Ticket Tac Toe (redemption)	てぃけっとたくとぅー
tturfu	タフターフ	たふたーふ
tumblep	タンブルポップ	たんぶるぽっぷ
turfmast	ビッグトーナメントゴルフ / Neo Turf Masters	びっぐとーなめんとごるふ
turtles	ターピン / Turtles	たーぴん
turtship	タートルシップ	たーとるしっぷ
tutankhm	ツタンカーム	つたんかーむ
twinbee	ツインビー	ついんびー
twincobr	究極タイガー / Twin Cobra	きゅうきょくたいがー
twinhawk	大旋風 / Twin Hawk	だいせんぷう
twinqix	ついんくいっくす	ついんくいっくす
twinspri	ティンクルスタースプライツ	てぃんくるすたーすぷらいつ
twotiger	Two Tigers (効果音のみ)	つーたいがーず
twotigerc	Two Tigers (Tron Conversion) (効果音のみ)	つーたいがーず
twrldc94	テクモワールドカップ '94	てくもわーるどかっぷ94
tws96	テクモワールドサッカー '96	てくもわーるどさっかー96
twst_405	ツイスター (ピンボール)	ついすたー
tz_92	トワイライトゾーン (ピンボール, ver 9.2)	とわいらいとぞーん
uballoon	Ultra Balloon	うるとらばるーん
uccops	アンダーカバーコップス (海外版)	あんだーかばーこっぷす_w
uccopsj	アンダーカバーコップス (日本版)	あんだーかばーこっぷす_j
ufosensi	UFO戦士ようこちゃん	ゆーふぉーせんしようこちゃん
undrfire	アンダーファイアー	あんだーふぁいあー
unsquad	エリア88 / U.N. Squadron	えりあえいてぃーえいと
uopoko	魚ポコ	うおぽこ
upndown	アップンダウン	あっぷんだうん
valkyrie	ワルキューレの伝説	わるきゅーれのでんせつ
valtric	バルトリック	ばるとりっく
vaportra	空牙 / Vapor Trail	くうが
varth	バース	ばーす
vball	V'ボール	ぶいぼーる
vcop	バーチャコップ	ばーちゃこっぷ1
vcop2	バーチャコップ2	ばーちゃこっぷ2
vegas	ベガス (ピンボール)	べがす
vendetta	クライムファイターズ2	くらいむふぁいたーず2
vf	バーチャファイター	ばーちゃふぁいたー1
vf2	バーチャファイター2	ばーちゃふぁいたー2
vf3	バーチャファイター3	ばーちゃふぁいたー3
vgoalsoc	テクモVゴールサッカー	てくもぶいごーるさっかー
vhunt2	ヴァンパイアハンター2 - ダークストーカーズリベンジ	ばんぱいあはんたー2
victlapw	エースドライバー - ビクトリーラップ	えーすどらいばーびくとりーらっぷ
victnine	ビクトリアスナイン	びくとりあすないん
victroad	怒号層圏 / Victory Road (海外版)	どごうそうけん_w
viewpoin	ビューポイント	びゅーぽいんと
vigilant	ビジランテ	びじらんて
vindctr2	Vindicators Part II	びんじけーたーず2
vindictr	ビンジケーターズ	びんじけーたーず1
viofight	バイオレンスファイト	ばいおれんすふぁいと
viostorm	バイオレントストーム	ばいおれんとすとーむ
viprp1	バイパーフェイズ1 (海外版)	ばいぱーふぇいずわんw
viprp1j	バイパーフェイズ1 (日本版)	ばいぱーふぇいずわん
viprsega	バイパーナイトドライビン (ピンボール)	ばいぱーないとどらいびんp
vliner	V-Liner	ぶいらいなー
volfied	ヴォルフィード	ぼるふぃーど
von	電脳戦機バーチャロン	でんのうせんきばーちゃろん1
von2	電脳戦機バーチャロン - オラトリオ・タングラム	でんのうせんきばーちゃろん2
vr	バーチャレーシング	ばーちゃれーしんぐ
vs2	バーチャストライカー2	ばーちゃすとらいかー2
vs298	バーチャストライカー2 バージョン'98	ばーちゃすとらいかー2ばーじょん98
vs2v991	バーチャストライカー2 バージョン'99	ばーちゃすとらいかー2ばーじょん99
vsav	ヴァンパイアセイヴァー - ザ・ロードオブヴァンパイア	ばんぱいあせいばー1
vsav2	ヴァンパイアセイヴァー2 - ザ・ロードオブヴァンパイア	ばんぱいあせいばー2
vshoot	Jリーグサッカー Vシュート	じぇいりーぐさっかーぶいしゅーと
vsnetscr	ヴァーサスネットサッカー	ばーさすねっとさっかー
vstriker	バーチャストライカー	ばーちゃすとらいかー
vulcan	グラディウスII - GOFERの野望	ぐらでぃうす2
wacko	Wacko (効果音のみ)	わっこー
wakuwak7	わくわく7	わくわくせぶん
wardner	ワードナの森	わーどなのもり
warriorb	ウォリアーブレード - ラスタンサーガエピソード III	うぉーりあーぶれーど
waterski	ウォータースキー	うぉーたーすきー
waterwld	ウォーターワールド (ピンボール)	うぉーたーわーるど
waverunr	ウェーブランナー	うえーぶらんなー
wb3	ワンダーボーイIII モンスターレア	わんだーぼーい3
wbml	ワンダーボーイ モンスターランド	わんだーぼーいもんすたーらんど
wboy	ワンダーボーイ	わんだーぼーい1
wc90	テクモワールドカップ '90	てくもわーるどかっぷ90
wcbowl	World Class Bowling	わーるどくらすぼうりんぐ
wcs_l2	ワールドカップ '94 (ピンボール)	わーるどかっぷ94
wcsoccer	ワールドチャレンジサッカー (ピンボール)	わーるどちゃれんじさっかー
wd_12	フー・ダニット (ピンボール)	ふーだにっと
wecleman	ウェック・ル・マン24	うぇっくるまん24
welltris	ウェルトリス	うぇるとりす
wgp	WGP - ワールドグランプリ	わーるどぐらんぷり1
wgp2	WGP2 - ワールドグランプリ2	わーるどぐらんぷり2
wh1	ワールドヒーローズ	わーるどひーろーず1
wh2	ワールドヒーローズ2	わーるどひーろーず2
wh2j	ワールドヒーローズ2 JET	わーるどひーろーず2じぇっと
whirl_l3	ワールウィンド (L-3) (ピンボール)	わーるうぃんどp
whp	ワールドヒーローズパーフェクト	わーるどひーろーずぱーふぇくと
wildfang	ワイルドファング / Tecmo Knight	わいるどふぁんぐ
willow	ウィロー	うぃろー
windheat	ワインディングヒート	わいんでぃんぐひーと
wingwar	ウィングウォー (R360版)	うぃんぐうぉー
winrun	ウイニングラン 鈴鹿GP	ういにんぐらんすずか
winrun91	ウイニングラン '91	ういにんぐらん91
winspike	ウイニングスパイク	ういにんぐすぱいく
wipeout	ワイプアウト (ピンボール)	わいぷあうと
wizdfire	ダークシールII / Wizard's Fire	だーくしーる2
wjammers	フライングパワーディスク / Windjammers	ふらいんぐぱわーでぃすく
wldcourt	プロテニス・ワールドコート	ぷろてにすわーるどこーと
wmatch	ウォーターマッチ	うぉーたーまっち
wndrmomo	ワンダーモモ	わんだーもも
wndrplnt	ワンダープラネット	わんだーぷらねっと
wof	天地を喰らうII - 赤壁の戦い / Warriors of Fate (海外版)	てんちをくらう2_w
wondstck	Wonder Stick	わんだーすてぃっく
worldwar	ワールドウォーズ	わーるどうぉーず
wpksoc	ワールドPKサッカー	わーるどぴーけーさっかー
wrestwar	レッスルウォー	れっするうぉー
ws	プロ野球 ワールドスタジアム	ぷろやきゅうわーるどすたじあむ
ws89	プロ野球 ワールドスタジアム '89	ぷろやきゅうわーるどすたじあむ89
wwallyj	ウォーリーを探せ！	うぉーりーをさがせ
wwestern	ワイルドウエスタン	わいるどうえすたん
wwfmania	WWF Wrestlemania	だぶりゅーだぶりゅーえふれっするまにあ
wwfr_106	WWFロイヤルランブル (ピンボール)	だぶりゅーだぶりゅーえふろいらるらんぶる
wwfsstar	WWFスーパースターズ	だぶりゅーだぶりゅーえふすーぱーすたーず
wwfwfest	WWFレッスルフェスト	だぶりゅーだぶりゅーえふれっするふぇすと
xday2	X-DAY2	えっくすでい2
xevi3dg	ゼビウス 3D/G	ぜびうす3D/G
xevious	ゼビウス	ぜびうす
xexex	ゼクセクス	ぜくせくす
xfilepin	X-ファイル (ピンボール)	えっくすふぁいる
xmcota	エックスメン - チルドレンオブジアトム	えっくすめんちるどれんおぶじあとむ
xmen	X-MEN	えっくすめん
xmultipl	エックスマルチプライ	えっくすまるちぷらい
xmultiplm72	エックスマルチプライ (M72版)	えっくすまるちぷらい_72
xmvsf	エックスメン VS. ストリートファイター	えっくすめんばーさすすとりーとふぁいたー
xsedae	X Se Dae Quiz	えっくすせでくいず
xsleena	ザインドスリーナ	ざいんどすりーな
xybots	ザイボット	ざいぼっと
yesnoj	YES.NO 心理トキメキチャート	いえすのーしんりときめきちゃーと
youjyudn	妖獣伝	ようじゅうでん
yuyugogo	ゆうゆのクイズでGo！Go！	ゆうゆのくいずでごーごー
zedblade	オペレーションラグナロク / Zed Blade	おぺれーしょんらぐなろく
zerogun	ゼロガンナー	ぜろがんなー
zeroteam	ゼロチーム	ぜろちーむ
zerowing	ゼロウイング	ぜろういんぐ
zintrckb	押し出しジントリック	おしだしじんとりっく
zupapa	ズパパ!!	ずぱぱ

aquajet	アクアジェット	あくあじぇっと
bingoc	ビンゴサーカス (メダル)	びんごさーかす
hvyunit	ヘビーユニット	へびーゆにっと
nob	のぼらんか	のぼらんか
panicprk	パニックパーク	ぱにっくぱーく
strax_p7	スタートラックス (domestic prototype) (ピンボール)	すたーとらっくす
tokyowar	トーキョーウォーズ	とーきょーうぉーず
magtruck	マジカルトロッコアドベンチャー	まじかるとろっこあどべんちゃー
hangplt	ハングパイロット	はんぐぱいろっと
dirtdash	ダートダッシュ	だーとだっしゅ
ctrpllrp	Caterpillar (パックマンハック版)	きゃたぴら
joyman	Joyman	じょいまん
nrallyxb	ニューラリーX (海賊版?)	にゅーらりーえっくす-b
grainbow	SDガンダム三国志 レインボー大陸戦記	えすでぃーがんだむさんごくし
finlflng	ファイナルハロン	ふぁいなるはろん
cnbe	Codename: Blut Engel	こーどねーむぶらっどえんじぇる
lamachin	L.A.マシンガンズ	えるえーましんがんず
mac_zois	マシナ・ゾイス バーチャルトレーニングセンター (ピンボール)	ましなぞいす
wd_12g	フー・ダニット (1.2 ドイツ版) (ピンボール)	ふーだにっと_12
monopred	モノポリー (メダル機)	ものぽりー_m
wackadoo	Wack-A-Doodle-Doo (Redemption)	わっかどーどぅるどぅー
oceanhun	オーシャンハンター	おーしゃんはんたー
waveshrk	ジェットウェーブ / Wave Shark	じぇっとうぇーぶ
gunwars	ガンメンウォーズ	がんめんうぉーず
downhill	ダウンヒルバイカーズ	だうんひるばいかーず
crszone	クライシスゾーン	くらいしすぞーん
chkun	チャンス君	ちゃんすくん
alcon	スラップファイト / Alcon	すらっぷふぁいと
bygone	Bygone	ばいごーん
rumba	ルンバランバ	るんばらんば
atlantip	アトランティス (ピンボール)	あとらんてぃす
xfilesp	Xファイル	えっくすふぁいる
ctcheese	Cut The Cheese (Redemption)	かっとざちーず
