10yard	10ヤードファイト	てんやーどふぁいと
g_abus	エアバスター (メガドライブ)	えあばすたー_m
g_abz2	エアーマネジメントII 航空王をめざせ / Aerobiz Supersonic (メガドライブ)	えあーまねじめんと2_m
g_acr2	エアロ・ジ・アクロバット 2 (メガドライブ)	えあろじあくろばっと2_m
g_acro	エアロ・ジ・アクロバット (メガドライブ)	えあろじあくろばっと1_m
g_adiv	エアダイバー (メガドライブ)	えあだいばー_m
g_advdai	アドバンスト大戦略 - ドイツ電撃作戦 (メガドライブ)	あどばんすとだいせんりゃく_m
g_aero	エアーマネジメント 大空に賭ける / Aerobiz (メガドライブ)	えあーまねじめんと1_m
g_alad	アラジン (メガドライブ)	あらじん_m
g_alex	アレックスキッドの天空魔城 / Alex Kidd in the Enchanted Castle (メガドライブ)	あれっくすきっどのてんくうまじょう_m
g_anim	Animaniacs (メガドライブ)	あにまにあっくす_m
g_aof	龍虎の拳 / Art of Fighting (メガドライブ)	りゅうこのけん_m
g_aptg	尾崎直道のスーパーマスターズ / Arnold Palmer Tournament Golf (メガドライブ)	おざきなおみちのすーぱーますたーず_m
g_arca	Arcade Classics (メガドライブ)	あーけーどくらしっくす_m
g_arcu	アークスオデッセイ (メガドライブ)	あーくすおでっせい_m
g_arro	アローフラッシュ (メガドライブ)	あろーふらっしゅ_m
